episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.4839555984735489,0.4567333896458149
2,-4.999999999999998,-4.999999999999998,50,None,0.6329106264561415,0.5514715251326561
3,-5.199999999999999,4.800000000000001,2,Villain,0.8522478342056274,0.6105025112628937
4,-4.999999999999998,-4.999999999999998,50,None,0.4123132614791393,0.7941816909611226
5,-4.999999999999998,-4.999999999999998,50,None,0.30717143073678016,0.8851219494547695
6,-4.999999999999998,-4.999999999999998,50,None,0.31047106459736823,0.8772233045846224
7,-4.999999999999998,-4.999999999999998,50,None,0.3299576076865196,0.6679272582009435
8,-4.999999999999998,-4.999999999999998,50,None,0.2930814933776855,0.8066917665861547
9,-4.999999999999998,-4.999999999999998,50,None,0.2963654774427414,0.8130873388051987
10,-4.999999999999998,-4.999999999999998,50,None,0.3086477186530828,0.7320855340734124
11,-4.999999999999998,-4.999999999999998,50,None,0.331192562058568,0.7710138192772865
12,-4.999999999999998,-4.999999999999998,50,None,0.3378124804794788,0.8128263655677438
13,-4.999999999999998,-4.999999999999998,50,None,0.32452615842223165,0.5897581321001053
14,-4.999999999999998,-4.999999999999998,50,None,0.27545874789357183,0.6437768183276057
15,-4.999999999999998,-4.999999999999998,50,None,0.35662430092692377,0.7363249883428216
16,-5.1,4.9,1,Villain,0.6075849533081055,0.9380213618278503
17,-4.999999999999998,-4.999999999999998,50,None,0.28606313586235044,0.9519616818428039
18,-4.999999999999998,-4.999999999999998,50,None,0.3203960035741329,0.9914057528972626
19,-4.999999999999998,-4.999999999999998,50,None,0.2987393042445183,0.9251317423209549
20,-4.999999999999998,-4.999999999999998,50,None,0.3111569619178772,0.8616780270636082
21,-4.999999999999998,-4.999999999999998,50,None,0.2908526533842087,0.8870207754522562
22,-4.999999999999998,-4.999999999999998,50,None,0.3054846340417862,0.8408691296726465
23,-4.999999999999998,-4.999999999999998,50,None,0.2968147525191307,0.9047004321962595
24,-4.999999999999998,-4.999999999999998,50,None,0.3313709107041359,0.8944819534942507
25,-5.699999999999999,4.300000000000001,7,Villain,0.36786958255938124,0.9968869430678231
