episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-7.0,3.0,20,Villain,0.33680122569203375,0.6019076444208622
2,-4.999999999999998,-4.999999999999998,50,None,0.26004610866308214,0.7803577258437872
3,-4.999999999999998,-4.999999999999998,50,None,0.26670593172311785,0.8548006043955684
4,-4.999999999999998,-4.999999999999998,50,None,0.29479493901133536,0.914938327036798
5,-4.999999999999998,-4.999999999999998,50,None,0.28805348962545396,0.9549222785048187
6,-7.1,2.9,21,Villain,0.31201010587669553,0.9271035371791749
7,-4.999999999999998,-4.999999999999998,50,None,0.36100829616189,0.92895737208426
8,-4.999999999999998,-4.999999999999998,50,None,0.5060449048131704,0.9975378262996674
9,4.5,-5.5,5,Hero,0.49643824696540834,0.9972973346710206
10,1.0999999999999983,-8.900000000000002,39,Hero,0.5100905045102804,0.9977653454511594
11,-4.999999999999998,-4.999999999999998,50,None,0.5229975380003452,0.9936137938499451
12,3.3,-6.7,17,Hero,0.42824436461224274,0.9983641890918508
13,3.5,-6.5,15,Hero,0.45297516385714215,0.9990020593007406
14,1.1999999999999984,-8.8,38,Hero,0.511752479170498,0.9981530324408883
15,4.6000000000000005,-5.3999999999999995,4,Hero,0.5452959388494492,0.9984140247106552
16,3.2,-6.8,18,Hero,0.6769432611763477,0.999716063340505
17,3.0,-7.0,20,Hero,0.5555667445063591,0.9955944508314133
18,3.8000000000000007,-6.199999999999999,12,Hero,0.5306366135676702,0.9995178530613581
19,4.1000000000000005,-5.8999999999999995,9,Hero,0.5785950869321823,0.9946202437082926
20,1.6999999999999988,-8.3,33,Hero,0.5627221773434995,0.9930802096020092
21,3.8000000000000007,-6.199999999999999,12,Hero,0.5918676803509394,0.9985854029655457
22,0.5,-9.5,45,Hero,0.5895294544597467,0.9964221676190694
23,3.0999999999999996,-6.9,19,Hero,0.5206219820599807,0.9967152288085536
24,4.6000000000000005,-5.3999999999999995,4,Hero,0.6479747071862221,0.9996436387300491
25,3.0,-7.0,20,Hero,0.5867804005742073,0.9963004380464554
26,4.2,-5.8,8,Hero,0.776327446103096,0.9996680617332458
27,3.3,-6.7,17,Hero,0.4320470973411027,0.9760833382606506
28,3.4000000000000004,-6.6,16,Hero,0.5694215521216393,0.9983234293758869
29,3.5,-6.5,15,Hero,0.5145853281021118,0.9977134784062703
30,3.0999999999999996,-6.9,19,Hero,0.5891347206687849,0.9970036619587949
31,4.0,-6.0,10,Hero,0.48657881617546084,0.897153115645051
32,-5.1,4.9,1,Villain,0.06936575472354889,0.9992701411247253
33,3.5,-6.5,15,Hero,0.4977888484795888,0.9271406365558506
34,4.2,-5.8,8,Hero,0.6381071284413338,0.9984230324625969
35,3.9000000000000004,-6.1,11,Hero,0.7167633141983639,0.9996033365076239
36,3.9000000000000004,-6.1,11,Hero,0.5905042913827029,0.9985361315987327
37,3.8000000000000007,-6.199999999999999,12,Hero,0.570028635362784,0.9914958377679189
38,4.0,-6.0,10,Hero,0.5063446313142776,0.9908131718635559
39,4.1000000000000005,-5.8999999999999995,9,Hero,0.5293255911933051,0.9943390422397189
40,3.9000000000000004,-6.1,11,Hero,0.6461033766919916,0.999360052022067
41,4.1000000000000005,-5.8999999999999995,9,Hero,0.43979396526184344,0.9966760410202874
42,3.5,-6.5,15,Hero,0.5236385802427928,0.9750651955604553
43,3.9000000000000004,-6.1,11,Hero,0.6730129921978171,0.9971268773078918
44,3.8000000000000007,-6.199999999999999,12,Hero,0.5518390952299038,0.9479159017403921
45,3.0999999999999996,-6.9,19,Hero,0.4749639686687212,0.9184977319336644
46,4.300000000000001,-5.699999999999999,7,Hero,0.4659245652811868,0.998566712651934
47,4.4,-5.6,6,Hero,0.5238097012042999,0.999066044886907
48,4.300000000000001,-5.699999999999999,7,Hero,0.4805086595671518,0.9987627012389046
49,3.8000000000000007,-6.199999999999999,12,Hero,0.5157186910510063,0.9968224316835403
50,-5.6,4.4,6,Villain,0.7245850414037704,0.9993950426578522
51,3.5,-6.5,15,Hero,0.6729609032471975,0.977083170413971
52,3.6000000000000005,-6.3999999999999995,14,Hero,0.4885780523930277,0.9932932087353298
53,3.9000000000000004,-6.1,11,Hero,0.7383840138261969,0.9879723028703169
54,3.7,-6.3,13,Hero,0.6880705104424403,0.9996590476769668
55,3.2,-6.8,18,Hero,0.4666258129808638,0.9954116973612044
56,3.6000000000000005,-6.3999999999999995,14,Hero,0.5132467469998768,0.9893475430352348
57,3.5,-6.5,15,Hero,0.5589165647824605,0.9976364334424337
58,3.4000000000000004,-6.6,16,Hero,0.6039796844124794,0.9734945073723793
59,-5.3,4.7,3,Villain,0.32588977739214897,0.929471512635549
60,3.5,-6.5,15,Hero,0.6169477462768554,0.9999767303466797
61,-5.3999999999999995,4.6000000000000005,4,Villain,0.397945050150156,0.9979166984558105
62,4.0,-6.0,10,Hero,0.6352615997195243,0.9997586965560913
63,4.300000000000001,-5.699999999999999,7,Hero,0.5040146227526877,0.9999998467309135
64,3.0,-7.0,20,Hero,0.5130897155031562,0.9974692106246948
65,4.4,-5.6,6,Hero,0.429973545173804,0.9999890327453613
66,3.3,-6.7,17,Hero,0.5744820789379232,0.9952172601924223
67,3.2,-6.8,18,Hero,0.8115864313311048,0.9999972316953871
68,2.3999999999999995,-7.6000000000000005,26,Hero,0.6971990070663966,0.999887072123014
