episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-5.8,4.2,8,Villain,0.5427030688151717,0.5440320447087288
2,-5.6,4.4,6,Villain,0.3483087221781413,0.6463325644532839
3,-7.9,2.099999999999999,29,Villain,0.49824190345303765,0.6693059051858967
4,4.300000000000001,-5.699999999999999,7,Hero,0.44580999868256704,0.7473148661000388
5,-5.699999999999999,4.300000000000001,7,Villain,0.3234389426984957,0.8410969291414533
6,-6.0,4.0,10,Villain,0.42537863552570343,0.7287020161747932
7,3.7,-6.3,13,Hero,0.5347183507222396,0.9485949782224802
8,-6.9,3.0999999999999996,19,Villain,0.4803370965742751,0.9932477254616586
9,3.7,-6.3,13,Hero,0.5962545115214127,0.9909024651233966
10,4.9,-5.1,1,Hero,0.1634303629398346,0.9938313961029053
11,3.0999999999999996,-6.9,19,Hero,0.5000458077380532,0.9818044304847717
12,2.4999999999999996,-7.5,25,Hero,0.5305183279514313,0.9903638911247253
13,3.6000000000000005,-6.3999999999999995,14,Hero,0.5138571092060634,0.9081582073122263
14,1.899999999999999,-8.100000000000001,31,Hero,0.688138906513491,0.9951714200358237
15,3.8000000000000007,-6.199999999999999,12,Hero,0.6121495713790258,0.9849201738834381
16,3.5,-6.5,15,Hero,0.5528843353192011,0.9953277508417765
17,2.1999999999999993,-7.800000000000001,28,Hero,0.5428505092859268,0.9952185728720256
18,4.0,-6.0,10,Hero,0.6246420457959175,0.787435582280159
19,4.5,-5.5,5,Hero,0.5069476783275604,0.9942802667617798
20,4.7,-5.3,3,Hero,0.409988800684611,0.9963149825731913
21,-5.6,4.4,6,Villain,0.508997455239296,0.996511290470759
22,4.4,-5.6,6,Hero,0.6279667491714159,0.9958901703357697
23,3.8000000000000007,-6.199999999999999,12,Hero,0.6630308094123999,0.9934013684590658
24,3.0999999999999996,-6.9,19,Hero,0.6827814900561383,0.9900873773976376
25,2.6999999999999997,-7.300000000000001,23,Hero,0.5574635319087816,0.9388459687647612
26,3.3,-6.7,17,Hero,0.527500668869299,0.9930547440753263
27,4.0,-6.0,10,Hero,0.5464687794446945,0.9993500173091888
28,-5.199999999999999,4.800000000000001,2,Villain,0.5322042256593704,0.9998340308666229
29,3.4000000000000004,-6.6,16,Hero,0.5386249162256718,0.9985600933432579
30,3.7,-6.3,13,Hero,0.5306976964840522,0.9985907352887667
31,3.9000000000000004,-6.1,11,Hero,0.7611684772101316,0.9994839971715753
32,4.2,-5.8,8,Hero,0.55441664904356,0.9991777390241623
33,3.6000000000000005,-6.3999999999999995,14,Hero,0.48978263991219656,0.9997664988040924
34,4.300000000000001,-5.699999999999999,7,Hero,0.5645926381860461,0.9997917243412563
35,4.2,-5.8,8,Hero,0.7247945005074143,0.9943982064723969
36,2.2999999999999994,-7.700000000000001,27,Hero,0.59180300636217,0.9950229989157783
37,3.4000000000000004,-6.6,16,Hero,0.5799315804615617,0.9990247637033463
38,3.6000000000000005,-6.3999999999999995,14,Hero,0.8030590920576027,0.9991735773427146
39,1.899999999999999,-8.100000000000001,31,Hero,0.7261340440280976,0.9929262745764947
40,1.9999999999999991,-8.0,30,Hero,0.6158421153823534,0.9379832821587721
41,4.300000000000001,-5.699999999999999,7,Hero,0.9285480209759304,0.999863760811942
42,-6.0,4.0,10,Villain,0.5684374153614045,0.9999406099319458
43,-5.3,4.7,3,Villain,0.6180343826611837,0.9812213579813639
44,4.2,-5.8,8,Hero,0.9812515005469322,0.999272033572197
45,2.3999999999999995,-7.6000000000000005,26,Hero,0.8179848513637598,0.9957758830143855
46,3.8000000000000007,-6.199999999999999,12,Hero,0.5358908157795668,0.9087016762884256
47,-6.3,3.7,13,Villain,0.5906646710175735,0.999985355597276
48,2.3999999999999995,-7.6000000000000005,26,Hero,0.6338949048748383,0.9999911876825186
49,1.799999999999999,-8.200000000000001,32,Hero,0.75714494404383,0.9998661447316408
50,-5.3999999999999995,4.6000000000000005,4,Villain,0.6505333036184311,0.9991118609905243
51,2.4999999999999996,-7.5,25,Hero,0.7837244912981987,0.9999563598632812
52,-6.1,3.9000000000000004,11,Villain,0.5237882638519461,0.9999716607007113
53,1.4999999999999987,-8.500000000000002,35,Hero,0.7678245384778295,0.998586744921548
54,4.0,-6.0,10,Hero,0.5603983707726001,0.9998143494129181
55,4.2,-5.8,8,Hero,0.848236795514822,0.9999803453683853
56,3.2,-6.8,18,Hero,0.6825710700617896,0.9997856749428643
57,3.3,-6.7,17,Hero,0.5759018834899453,0.9992137095507454
58,2.6999999999999997,-7.300000000000001,23,Hero,0.75307915262554,0.9947416756464087
59,-5.8999999999999995,4.1000000000000005,9,Villain,0.6185903404321935,0.9999187456236945
60,2.2999999999999994,-7.700000000000001,27,Hero,0.7007769340718234,0.9998727330455074
61,2.4999999999999996,-7.5,25,Hero,0.6837315785884858,0.9995678043365479
62,2.9,-7.1,21,Hero,0.802030310744331,0.9999502357982454
63,-7.700000000000001,2.2999999999999994,27,Villain,0.6655226035250558,0.9999711955035174
64,0.9999999999999982,-9.000000000000002,40,Hero,0.7381139157339931,0.9998736441135406
65,2.1999999999999993,-7.800000000000001,28,Hero,0.660882756114006,0.9999980500766209
66,0.5999999999999996,-9.4,44,Hero,0.8414859470318664,0.9998688223687086
67,3.9000000000000004,-6.1,11,Hero,0.863672371615063,0.9998875748027455
68,3.3,-6.7,17,Hero,0.8341313999365357,0.9996020969222573
