episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,4.4,-5.6,6,Hero,0.41693127652009326,0.7697975138823191
2,-8.500000000000002,1.4999999999999987,35,Villain,0.3499222333942141,0.4920932595218931
3,-9.5,0.5,45,Villain,0.34209099343667426,0.3323749241729577
4,2.2999999999999994,-7.700000000000001,27,Hero,0.40310264351191344,0.5024247721389488
5,2.099999999999999,-7.9,29,Hero,0.4400845784051665,0.34101137827182637
6,1.9999999999999991,-8.0,30,Hero,0.40573683579762776,0.31106182299554347
7,3.8000000000000007,-6.199999999999999,12,Hero,0.47401637273530167,0.5995791926980019
8,1.0999999999999983,-8.900000000000002,39,Hero,0.3926781668112828,0.42472689368356115
9,1.799999999999999,-8.200000000000001,32,Hero,0.3863346810976509,0.5342578622512519
10,3.4000000000000004,-6.6,16,Hero,0.549920687219128,0.6058224206790328
11,3.8000000000000007,-6.199999999999999,12,Hero,0.5902789620061716,0.31986731477081776
12,4.6000000000000005,-5.3999999999999995,4,Hero,0.4590001776814461,0.4110112376511097
13,2.9,-7.1,21,Hero,0.430506584190187,0.4220799661818005
14,-5.5,4.5,5,Villain,0.23091994524002074,0.2796624019742012
15,3.2,-6.8,18,Hero,0.5113974109343771,0.5198386073526409
16,4.1000000000000005,-5.8999999999999995,9,Hero,0.7076914293898476,0.3631067739592658
17,-5.1,4.9,1,Villain,0.11025335639715195,0.30052873492240906
18,4.0,-6.0,10,Hero,0.5398767597973346,0.42315187603235244
19,3.3,-6.7,17,Hero,0.5292453152291915,0.4527038541786811
20,4.5,-5.5,5,Hero,0.4103321015834808,0.9288333058357239
21,3.0999999999999996,-6.9,19,Hero,0.47223805047963796,0.6353117823600769
22,3.9000000000000004,-6.1,11,Hero,0.5547056604515422,0.9526413895867087
23,4.4,-5.6,6,Hero,0.5317695438861847,0.8094426533207297
24,4.300000000000001,-5.699999999999999,7,Hero,0.4955985631261553,0.7977354820551616
25,2.9,-7.1,21,Hero,0.5077314431657127,0.7194439907159124
26,2.6999999999999997,-7.300000000000001,23,Hero,0.5965093134537988,0.7500677154116009
27,1.5999999999999988,-8.400000000000002,34,Hero,0.6790518559077207,0.9442412953495103
28,3.6000000000000005,-6.3999999999999995,14,Hero,0.49888109881430864,0.8521460651287011
29,0.7999999999999989,-9.200000000000001,42,Hero,0.6912737720246825,0.9352681351204714
30,-4.999999999999998,-4.999999999999998,50,None,0.8552004191279411,0.8651745343394578
31,3.9000000000000004,-6.1,11,Hero,0.8286983851682056,0.9646903113885359
32,2.9,-7.1,21,Hero,0.4731668699532747,0.7494422381832486
33,3.5,-6.5,15,Hero,0.46623744815588,0.7274024456739425
34,-5.3999999999999995,4.6000000000000005,4,Villain,0.6457327492535114,0.7186240018345416
35,3.3,-6.7,17,Hero,0.48965785783879895,0.8028046223608887
36,4.0,-6.0,10,Hero,0.5578653007745743,0.8997695744037628
37,4.4,-5.6,6,Hero,0.6395367905497551,0.9585644702116648
38,4.0,-6.0,10,Hero,0.7984562516212463,0.9117908179759979
39,3.0999999999999996,-6.9,19,Hero,0.43372516686979096,0.6627390490550744
