episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.4838968384452164,0.5266233266890049
2,-11.4,8.6,14,Villain,0.6746245484266963,0.39993854851594995
3,6.499999999999998,-13.500000000000002,35,Hero,0.3496072526488985,0.7180554132110306
4,6.899999999999999,-13.100000000000001,31,Hero,0.36854018931907995,0.48828814701447565
5,-4.999999999999998,-4.999999999999998,50,None,0.3510978851467371,0.6353732377290726
6,8.1,-11.9,19,Hero,0.38937446308371265,0.6401939658742202
7,7.8,-12.2,22,Hero,0.39615496612069284,0.8715384257110682
8,8.1,-11.9,19,Hero,0.53030033174314,0.6694582014491683
9,8.0,-12.0,20,Hero,0.548272705078125,0.7724822871387005
10,9.1,-10.9,9,Hero,0.43158817787965137,0.8260679389867518
11,-10.7,9.3,7,Villain,0.6377902669566018,0.907987117767334
12,8.2,-11.8,18,Hero,0.482262655471762,0.8784542462478081
13,8.3,-11.7,17,Hero,0.5456031614585835,0.7860278577050742
14,-11.0,9.0,10,Villain,0.5523570654448122,0.9918082177639007
15,9.5,-10.5,5,Hero,0.5122330665588379,0.978457260131836
16,8.5,-11.5,15,Hero,0.5599290867646535,0.9808832287788392
17,7.8,-12.2,22,Hero,0.49524615705013275,0.9397447491011751
18,9.0,-11.0,10,Hero,0.6539016455411911,0.9899996280670166
19,-10.6,9.4,6,Villain,0.5142707228660583,0.9967523713906606
20,-11.6,8.4,16,Villain,0.4918988880235702,0.9292512003885349
21,-10.1,9.9,1,Villain,0.7863401770591736,0.9990097284317017
22,9.8,-10.2,2,Hero,0.5086747594177723,0.972281813621521
23,-11.9,8.1,19,Villain,0.5128404168706191,0.8805646533636671
24,8.9,-11.1,11,Hero,0.4982255534692244,0.9693677858872847
25,9.4,-10.6,6,Hero,0.904757966597875,0.9843016465504965
26,9.4,-10.6,6,Hero,0.5329603850841522,0.9970989028612772
27,8.6,-11.4,14,Hero,0.5446902960538864,0.9815409736973899
28,-10.7,9.3,7,Villain,0.5818230339459011,0.997033315045493
29,9.4,-10.6,6,Hero,0.5820998599131902,0.9952816069126129
30,8.6,-11.4,14,Hero,0.5645019321569374,0.8479531988767641
31,-11.1,8.9,11,Villain,0.6290671540932222,0.9812717654488303
32,9.9,-10.1,1,Hero,0.6827178001403809,0.9839157462120056
33,8.6,-11.4,14,Hero,0.5504862815141678,0.8367065497274909
34,9.1,-10.9,9,Hero,0.491419706079695,0.8866760599970197
35,8.5,-11.5,15,Hero,0.562943963209788,0.9986260215441386
36,9.700000000000001,-10.299999999999999,3,Hero,0.5744436383247375,0.9945968190828959
37,-11.9,8.1,19,Villain,0.6100927559952987,0.9207894537646911
38,-11.1,8.9,11,Villain,0.6232851946895773,0.9799894473769448
39,9.8,-10.2,2,Hero,0.9721912145614624,0.9980931282043457
40,-10.6,9.4,6,Villain,0.7009358505407969,0.9953195651372274
41,8.700000000000001,-11.299999999999999,13,Hero,0.6351630171904197,0.9115721291074386
42,9.8,-10.2,2,Hero,0.5352049469947815,0.9936708807945251
43,9.1,-10.9,9,Hero,0.8643529564142227,0.7262191519969039
44,8.9,-11.1,11,Hero,0.5210713324221697,0.9334748712452975
45,8.5,-11.5,15,Hero,0.5225250542163848,0.9934420347213745
46,8.9,-11.1,11,Hero,0.6872536580670964,0.9954097325151617
47,7.5,-12.5,25,Hero,0.6228064423799515,0.9983330893516541
48,9.200000000000001,-10.799999999999999,8,Hero,0.6714295707643032,0.9926739931106567
49,9.700000000000001,-10.299999999999999,3,Hero,0.6430087586243948,0.9907275835673014
50,-11.8,8.2,18,Villain,0.5303014864524206,0.9976150327258639
