episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.39920987546443937,0.2870354515314102
2,-6.5,3.5,15,Villain,0.28597387969493865,0.30880590081214904
3,-4.999999999999998,-4.999999999999998,50,None,0.3378745798766613,0.2954671128094196
4,-7.1,2.9,21,Villain,0.4162513972038314,0.5369188955851963
5,-5.6,4.4,6,Villain,0.7666885113964478,0.9235880275567373
6,-7.0,3.0,20,Villain,0.3555812068283558,0.3781333275139332
7,-5.8,4.2,8,Villain,0.4380396567285061,0.6622591428458691
8,-4.999999999999998,-4.999999999999998,50,None,0.859741795361042,0.982350195646286
9,-6.8,3.2,18,Villain,0.8718527907298671,0.9263164041201688
10,-4.999999999999998,-4.999999999999998,50,None,0.45074642524123193,0.543887244425714
11,-4.999999999999998,-4.999999999999998,50,None,0.7419707616046071,0.8104178006760776
12,-8.0,1.9999999999999991,30,Villain,0.3838520961503188,0.3057490138957898
13,-4.999999999999998,-4.999999999999998,50,None,0.9254835871234536,0.9963646268844605
14,-5.3,4.7,3,Villain,0.9589711427688599,0.9964154958724976
15,-5.3,4.7,3,Villain,0.5304615398248037,0.8845302859942118
16,-5.6,4.4,6,Villain,0.9341422319412231,0.9921086231867472
17,-7.700000000000001,2.2999999999999994,27,Villain,0.9218252030787645,0.9977237935419436
18,-4.999999999999998,-4.999999999999998,50,None,0.6544436790049076,0.8911550986766815
19,-9.799999999999999,0.20000000000000107,48,Villain,0.6502851787954569,0.7636894697789103
20,-4.999999999999998,-4.999999999999998,50,None,0.6958381970971823,0.9204016350209713
21,-4.999999999999998,-4.999999999999998,50,None,0.7745579309388995,0.8260857951175421
22,-4.999999999999998,-4.999999999999998,50,None,0.9335544872283935,0.9931482672691345
23,-4.999999999999998,-4.999999999999998,50,None,0.8117183069884777,0.92071403183043
24,-4.999999999999998,-4.999999999999998,50,None,0.8812553666532039,0.9922855579853058
25,-4.999999999999998,-4.999999999999998,50,None,0.8931299267522991,0.8206248392909765
26,-4.999999999999998,-4.999999999999998,50,None,0.8417332126107067,0.9158324795588851
27,-5.1,4.9,1,Villain,0.49262258410453796,0.7126703262329102
28,-7.2,2.8,22,Villain,0.3694790879433805,0.3787264478477565
29,-4.999999999999998,-4.999999999999998,50,None,0.9349885148927569,0.9936356210708618
30,-4.999999999999998,-4.999999999999998,50,None,0.8712956231832504,0.999046903848648
31,-4.999999999999998,-4.999999999999998,50,None,0.49578912124037744,0.8903818087279797
32,-9.899999999999999,0.10000000000000142,49,Villain,0.5713664928109062,0.9748003409833325
33,-4.999999999999998,-4.999999999999998,50,None,0.8879599820449948,0.997730759382248
34,-7.9,2.099999999999999,29,Villain,0.37874344402346116,0.8646734020319479
35,-4.999999999999998,-4.999999999999998,50,None,0.8103244454413653,0.9981163465976715
36,-6.3,3.7,13,Villain,0.3175126721079533,0.7112465626918353
37,-6.6,3.4000000000000004,16,Villain,0.4220884842798114,0.7129673026502132
38,-7.300000000000001,2.6999999999999997,23,Villain,0.4610838884406764,0.6210555712813917
39,-7.800000000000001,2.1999999999999993,28,Villain,0.5754299531025546,0.5311594577506185
40,-7.2,2.8,22,Villain,0.4006729056550698,0.7270386818457734
41,-6.0,4.0,10,Villain,0.33067084178328515,0.6061836175620556
42,-5.6,4.4,6,Villain,0.4140468090772629,0.8047924215594927
43,-8.900000000000002,1.0999999999999983,39,Villain,0.3560781677563985,0.3760939828860454
44,-4.999999999999998,-4.999999999999998,50,None,0.6481231290847063,0.4875939784944057
45,-5.8,4.2,8,Villain,0.48734237998723984,0.6968114338815212
46,-4.999999999999998,-4.999999999999998,50,None,0.804416563976556,0.6334977973997593
