episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,3.0999999999999996,-6.9,19,Hero,0.37958574608752604,0.5935452376541338
2,-6.3,3.7,13,Villain,0.3718677438222445,0.4989050110945335
3,4.6000000000000005,-5.3999999999999995,4,Hero,0.4000832736492157,0.4678853936493397
4,3.8000000000000007,-6.199999999999999,12,Hero,0.4963728090127309,0.8336009914055467
5,4.2,-5.8,8,Hero,0.5529952235519886,0.6705704368650913
6,3.5,-6.5,15,Hero,0.5329673051834106,0.695197640856107
7,3.2,-6.8,18,Hero,0.6272463980648253,0.962158183256785
8,3.8000000000000007,-6.199999999999999,12,Hero,0.594207901507616,0.8743221908807755
9,3.8000000000000007,-6.199999999999999,12,Hero,0.6297337499757608,0.701328657877942
10,3.5,-6.5,15,Hero,0.5907499720652898,0.8945406520118316
11,-6.1,3.9000000000000004,11,Villain,0.47331843220374803,0.6967011053453792
12,2.3999999999999995,-7.6000000000000005,26,Hero,0.6358207733585284,0.9691507380742294
13,2.5999999999999996,-7.4,24,Hero,0.6730688046664,0.9454739202046767
14,4.7,-5.3,3,Hero,0.8939831852912903,0.9872586329778036
15,3.4000000000000004,-6.6,16,Hero,0.7980871857143939,0.9952265881001949
16,3.0,-7.0,20,Hero,0.6063143588602543,0.9414809516631066
17,4.4,-5.6,6,Hero,0.9387559394041697,0.9877874255180359
18,1.0999999999999983,-8.900000000000002,39,Hero,0.6449562911039743,0.9711087728158022
19,1.6999999999999988,-8.3,33,Hero,0.6619513420896097,0.9637118230263392
20,3.7,-6.3,13,Hero,0.6453721827039351,0.9704225430121789
21,4.300000000000001,-5.699999999999999,7,Hero,0.82393408034529,0.9930208325386047
22,4.0,-6.0,10,Hero,0.5729002147912979,0.9928051352500915
23,4.300000000000001,-5.699999999999999,7,Hero,0.7609777961458478,0.8545830361628239
24,4.6000000000000005,-5.3999999999999995,4,Hero,0.518762681633234,0.9971726089715958
25,4.1000000000000005,-5.8999999999999995,9,Hero,0.6991950819889704,0.86988702606565
26,3.5,-6.5,15,Hero,0.4965380767981211,0.9642279545466105
27,3.7,-6.3,13,Hero,0.6123703832809742,0.9337327296917255
28,4.1000000000000005,-5.8999999999999995,9,Hero,0.5883042944802178,0.9875079327159457
29,4.5,-5.5,5,Hero,0.5643294751644135,0.9929389119148254
30,4.6000000000000005,-5.3999999999999995,4,Hero,0.4854331389069557,0.9953027814626694
31,3.8000000000000007,-6.199999999999999,12,Hero,0.5842558344205221,0.9930063088734945
32,3.3,-6.7,17,Hero,0.5301888550029081,0.9758395096834969
33,-6.0,4.0,10,Villain,0.6810529291629791,0.9931502759456634
34,4.300000000000001,-5.699999999999999,7,Hero,0.7137980716569083,0.9937074184417725
35,3.7,-6.3,13,Hero,0.6149193598673894,0.9972999462714562
36,3.8000000000000007,-6.199999999999999,12,Hero,0.5394730617602667,0.9889932175477346
37,3.6000000000000005,-6.3999999999999995,14,Hero,0.5861053339072636,0.9077407228095191
38,4.2,-5.8,8,Hero,0.5152087062597275,0.9995735660195351
39,-5.199999999999999,4.800000000000001,2,Villain,0.57059645652771,0.9986647963523865
40,2.9,-7.1,21,Hero,0.5995726727304005,0.9998759485426403
41,-4.999999999999998,-4.999999999999998,50,None,0.7530997970700264,0.9997008407115936
42,-5.3999999999999995,4.6000000000000005,4,Villain,0.6949403993785381,0.9999315142631531
43,3.8000000000000007,-6.199999999999999,12,Hero,0.6619043039778868,0.9992800205945969
44,-4.999999999999998,-4.999999999999998,50,None,0.7343207955360412,0.9993045842647552
45,3.8000000000000007,-6.199999999999999,12,Hero,0.9028574644277493,0.999807690580686
46,0.9999999999999982,-9.000000000000002,40,Hero,0.8165128283202648,0.9998039931058884
47,-8.200000000000001,1.799999999999999,32,Villain,0.9045456369640306,0.999926483258605
48,-4.999999999999998,-4.999999999999998,50,None,0.7907433432340621,0.9998910427093506
49,4.7,-5.3,3,Hero,0.6320557544628779,0.9996348818143209
50,2.3999999999999995,-7.6000000000000005,26,Hero,0.6970209975082141,0.9996432157663199
51,-4.999999999999998,-4.999999999999998,50,None,0.9323819219321012,0.9997911894321442
52,4.2,-5.8,8,Hero,0.46195271611213684,0.9991599544882774
53,-8.0,1.9999999999999991,30,Villain,0.8016443133354187,0.9997886021931967
54,2.6999999999999997,-7.300000000000001,23,Hero,0.5999749030755914,0.9997787864311881
55,4.9,-5.1,1,Hero,0.09384404122829437,0.999969482421875
56,-5.699999999999999,4.300000000000001,7,Villain,0.7820959793669837,0.9989533850124904
57,4.300000000000001,-5.699999999999999,7,Hero,0.5678096669060844,0.9996883954320636
58,4.1000000000000005,-5.8999999999999995,9,Hero,0.5102082623375787,0.9993623495101929
59,-5.699999999999999,4.300000000000001,7,Villain,0.4650652664048331,0.9996002742222377
60,3.3,-6.7,17,Hero,0.4955083824255887,0.9970777595744413
61,4.800000000000001,-5.199999999999999,2,Hero,0.5316889733076096,0.9999487400054932
62,3.9000000000000004,-6.1,11,Hero,0.5594072883779352,0.999891996383667
63,4.0,-6.0,10,Hero,0.7616309955716133,0.9998887538909912
64,3.6000000000000005,-6.3999999999999995,14,Hero,0.62143275141716,0.9952395430633
65,4.300000000000001,-5.699999999999999,7,Hero,0.5906432483877454,0.9998186656406948
