episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.3602340018004179,0.44668772604316476
2,-4.999999999999998,-4.999999999999998,50,None,0.3606318055838347,0.4963317978382111
3,-4.999999999999998,-4.999999999999998,50,None,0.32030255973339083,0.47426912844181063
4,-4.999999999999998,-4.999999999999998,50,None,0.34101148635149003,0.3839531710743904
5,-4.999999999999998,-4.999999999999998,50,None,0.3795090167224407,0.3506930857896805
6,-9.000000000000002,0.9999999999999982,40,Villain,0.28753406889736655,0.26380206644535065
7,-4.999999999999998,-4.999999999999998,50,None,0.4024367352575064,0.38319623440504075
8,-5.199999999999999,4.800000000000001,2,Villain,0.44078129529953003,0.287388414144516
9,-4.999999999999998,-4.999999999999998,50,None,0.32569998472929,0.2902794739603996
10,-4.999999999999998,-4.999999999999998,50,None,0.3714653574023396,0.3346734751015902
11,-4.999999999999998,-4.999999999999998,50,None,0.3762172392755747,0.38893529430031776
12,-4.999999999999998,-4.999999999999998,50,None,0.363119297362864,0.36568689852952957
13,-4.999999999999998,-4.999999999999998,50,None,0.30403773054480554,0.29052061200141904
14,-4.999999999999998,-4.999999999999998,50,None,0.32520664513111114,0.33680788189172745
15,-8.8,1.1999999999999984,38,Villain,0.3480538764086209,0.2931425114603419
16,-7.4,2.5999999999999996,24,Villain,0.31670788923899335,0.33388120991488296
17,-8.3,1.6999999999999988,33,Villain,0.3903751998688235,0.3801375184998368
18,-7.9,2.099999999999999,29,Villain,0.29795284055430316,0.3086019001644233
19,-6.0,4.0,10,Villain,0.34827165827155115,0.31141740307211874
20,-5.3999999999999995,4.6000000000000005,4,Villain,0.6330863535404205,0.5766724031418562
21,-4.999999999999998,-4.999999999999998,50,None,0.2829871191084385,0.3598047049343586
22,-9.3,0.6999999999999993,43,Villain,0.3296773738639299,0.3007810795029929
23,-5.199999999999999,4.800000000000001,2,Villain,0.3145250603556633,0.3851708387956023
24,-9.899999999999999,0.10000000000000142,49,Villain,0.40253138420533163,0.3926344393771522
25,-4.999999999999998,-4.999999999999998,50,None,0.27296651259064675,0.33311609029769895
26,-4.999999999999998,-4.999999999999998,50,None,0.2926750114560127,0.3586428800970316
27,2.099999999999999,-7.9,29,Hero,0.2843067083379318,0.43382991676957444
28,-8.700000000000001,1.2999999999999985,37,Villain,0.37527419083021785,0.35545237946349223
29,-7.700000000000001,2.2999999999999994,27,Villain,0.5627579406179763,0.4407337397612907
30,-4.999999999999998,-4.999999999999998,50,None,0.3093131424486637,0.3284893950819969
31,-4.999999999999998,-4.999999999999998,50,None,0.46351736545562744,0.4230620017647743
32,-4.999999999999998,-4.999999999999998,50,None,0.38301741018891333,0.386855648830533
33,-6.8,3.2,18,Villain,0.45088106724951005,0.32078498436344993
34,-6.1,3.9000000000000004,11,Villain,0.922009831125086,0.4473181160336191
35,-4.999999999999998,-4.999999999999998,50,None,0.524567033201456,0.5097839252650738
36,-7.4,2.5999999999999996,24,Villain,0.4988844348117709,0.32536565403764445
37,-5.6,4.4,6,Villain,0.5816568844020367,0.3684062498311202
38,-7.4,2.5999999999999996,24,Villain,0.4343306999653578,0.3587043372293313
39,-4.999999999999998,-4.999999999999998,50,None,0.5639318106323481,0.4527429960295558
40,-7.6000000000000005,2.3999999999999995,26,Villain,0.4435023055053674,0.45616316537444407
41,-4.999999999999998,-4.999999999999998,50,None,0.6463425046391785,0.44686555992811916
42,-4.999999999999998,-4.999999999999998,50,None,0.37695555195212366,0.34713422030210495
43,-6.5,3.5,15,Villain,0.7784908254941304,0.3418112874031067
44,-4.999999999999998,-4.999999999999998,50,None,0.6115014182776213,0.5905211159586906
45,-4.999999999999998,-4.999999999999998,50,None,0.35269182838499546,0.3485361856222153
46,4.9,-5.1,1,Hero,0.39383384585380554,0.9120476841926575
47,4.300000000000001,-5.699999999999999,7,Hero,0.7192133920533317,0.49311646153884275
48,-4.999999999999998,-4.999999999999998,50,None,0.62286053173244,0.3413064393401146
49,-4.999999999999998,-4.999999999999998,50,None,0.8093368124216795,0.3731953953951597
50,-4.999999999999998,-4.999999999999998,50,None,0.6531007486395538,0.4227536356449127
51,-4.999999999999998,-4.999999999999998,50,None,0.7611701461672783,0.3270119559019804
52,-4.999999999999998,-4.999999999999998,50,None,0.9792334663867951,0.4088991052657366
53,4.9,-5.1,1,Hero,0.9977012276649475,0.15376634895801544
54,-5.3999999999999995,4.6000000000000005,4,Villain,0.9435148984193802,0.5514712873846292
55,-4.999999999999998,-4.999999999999998,50,None,0.9535513470321894,0.35704105326905844
56,-4.999999999999998,-4.999999999999998,50,None,0.9481523141264916,0.44990733213722706
57,-4.999999999999998,-4.999999999999998,50,None,0.8148792871553451,0.39022511497139933
58,-6.9,3.0999999999999996,19,Villain,0.3646579369118339,0.39684785628005076
59,-4.999999999999998,-4.999999999999998,50,None,0.7490745842084289,0.3558965899795294
60,-4.999999999999998,-4.999999999999998,50,None,0.6872777665406465,0.37006628975272177
61,-4.999999999999998,-4.999999999999998,50,None,0.640406633131206,0.3373800966143608
62,-4.999999999999998,-4.999999999999998,50,None,0.41455690629780295,0.37707571864128114
63,-4.999999999999998,-4.999999999999998,50,None,0.9744301438331604,0.5448106683790683
64,-4.999999999999998,-4.999999999999998,50,None,0.9492772623151541,0.4373978085070849
65,-4.999999999999998,-4.999999999999998,50,None,0.7547636469453574,0.40582890912890435
66,4.6000000000000005,-5.3999999999999995,4,Hero,0.9935572296380997,0.6322540044784546
67,-4.999999999999998,-4.999999999999998,50,None,0.9180178907513619,0.39809476539492605
68,-4.999999999999998,-4.999999999999998,50,None,0.7860303300619126,0.38917396649718283
69,-4.999999999999998,-4.999999999999998,50,None,0.8267670065909624,0.39942316636443137
70,-4.999999999999998,-4.999999999999998,50,None,0.9142898382525891,0.4139762069284916
71,-4.999999999999998,-4.999999999999998,50,None,0.9294996462762356,0.3814426201581955
72,-4.999999999999998,-4.999999999999998,50,None,0.8975280865654349,0.4408836343884468
73,4.6000000000000005,-5.3999999999999995,4,Hero,0.9909585267305374,0.6513392068445683
74,-4.999999999999998,-4.999999999999998,50,None,0.8812488818285056,0.3839075600169599
75,-4.999999999999998,-4.999999999999998,50,None,0.8319350041076541,0.4101461660861969
76,-4.999999999999998,-4.999999999999998,50,None,0.7888080116733909,0.35923522599041463
77,-5.3999999999999995,4.6000000000000005,4,Villain,0.8498518615961075,0.8735081255435944
78,-5.199999999999999,4.800000000000001,2,Villain,0.8876823484897614,0.9117662608623505
79,-4.999999999999998,-4.999999999999998,50,None,0.8952588310465217,0.6038303889892995
80,-4.999999999999998,-4.999999999999998,50,None,0.6802435695752501,0.43324608385562896
81,-4.999999999999998,-4.999999999999998,50,None,0.7900855382718146,0.3316232980787754
82,-4.999999999999998,-4.999999999999998,50,None,0.7056062119454145,0.7752047120034695
83,-4.999999999999998,-4.999999999999998,50,None,0.8023207956552505,0.35529085237532854
84,-7.5,2.4999999999999996,25,Villain,0.4182236084342003,0.5015336200408638
85,-4.999999999999998,-4.999999999999998,50,None,0.7760839450312779,0.8443368335068225
86,-7.2,2.8,22,Villain,0.6356844224713065,0.543909331614321
87,-4.999999999999998,-4.999999999999998,50,None,0.6042252751439809,0.5233564445376396
88,-4.999999999999998,-4.999999999999998,50,None,0.8701836128160357,0.46269064605236054
89,-4.999999999999998,-4.999999999999998,50,None,0.7233773742616176,0.4157939148694277
90,4.7,-5.3,3,Hero,0.933242122332255,0.9735307296117147
91,-4.999999999999998,-4.999999999999998,50,None,0.9469628837332129,0.8275680480152369
92,-4.999999999999998,-4.999999999999998,50,None,0.946137095168233,0.8224391636252403
93,-4.999999999999998,-4.999999999999998,50,None,0.946836104458198,0.8421574938297272
94,-4.999999999999998,-4.999999999999998,50,None,0.9156112300325185,0.3926305438578129
95,-4.999999999999998,-4.999999999999998,50,None,0.9729340255260468,0.7726386300846935
96,-4.999999999999998,-4.999999999999998,50,None,0.8222623905539512,0.4964905136078596
97,-4.999999999999998,-4.999999999999998,50,None,0.9924373137950897,0.923015249595046
98,-4.999999999999998,-4.999999999999998,50,None,0.9013127300143242,0.5820828952640295
99,-4.999999999999998,-4.999999999999998,50,None,0.9790592610836029,0.8490437981113792
100,-4.999999999999998,-4.999999999999998,50,None,0.934395357593894,0.9079064337909222
101,-5.199999999999999,4.800000000000001,2,Villain,0.6600679755210876,0.9948042631149292
102,-4.999999999999998,-4.999999999999998,50,None,0.9769333954388276,0.8364265912771225
103,-4.999999999999998,-4.999999999999998,50,None,0.9423726912401617,0.6848785747587681
104,-4.999999999999998,-4.999999999999998,50,None,0.977881342289038,0.742220116443932
105,-4.999999999999998,-4.999999999999998,50,None,0.9552957940101624,0.8337007945030928
106,-4.999999999999998,-4.999999999999998,50,None,0.9946648061275483,0.7822353189066052
107,-4.999999999999998,-4.999999999999998,50,None,0.973208714723587,0.917973600924015
108,-4.999999999999998,-4.999999999999998,50,None,0.7840894481912255,0.7022148931771517
109,-4.999999999999998,-4.999999999999998,50,None,0.9243535840511322,0.9679579794406891
110,-4.999999999999998,-4.999999999999998,50,None,0.8837354836054147,0.5832827652990819
111,-4.999999999999998,-4.999999999999998,50,None,0.7927987412363291,0.5168473513424396
112,-4.999999999999998,-4.999999999999998,50,None,0.9931081712245942,0.9471371410787106
113,-4.999999999999998,-4.999999999999998,50,None,0.950460822172463,0.7109057996049524
