episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,1.5999999999999988,-8.400000000000002,34,Hero,0.3182565411552787,0.33329294315155816
2,0.3000000000000007,-9.7,47,Hero,0.4507698406802213,0.4051840677857399
3,3.3,-6.7,17,Hero,0.36529501220759225,0.4537595050299869
4,2.099999999999999,-7.9,29,Hero,0.3493390807817722,0.3146403953433037
5,4.2,-5.8,8,Hero,0.4275039732456207,0.34690433740615845
6,3.4000000000000004,-6.6,16,Hero,0.47358791530132294,0.3221388952806592
7,3.7,-6.3,13,Hero,0.48619850552999055,0.26083473574656707
8,2.099999999999999,-7.9,29,Hero,0.4590577089452538,0.2674432951828529
9,-6.199999999999999,3.8000000000000007,12,Villain,0.42169471830129623,0.39551397537191707
10,2.4999999999999996,-7.5,25,Hero,0.5495408952236176,0.4131246203184128
11,4.2,-5.8,8,Hero,0.577500257641077,0.23212857451289892
12,0.9999999999999982,-9.000000000000002,40,Hero,0.5832022212445735,0.4389769058674574
13,4.0,-6.0,10,Hero,0.4610347181558609,0.34451492577791215
14,3.2,-6.8,18,Hero,0.5342528571685156,0.4214181140479114
15,4.800000000000001,-5.199999999999999,2,Hero,0.49763669073581696,0.30063698068261147
16,4.4,-5.6,6,Hero,0.5804899632930756,0.25595835347970325
17,4.2,-5.8,8,Hero,0.46563742292346433,0.5206292532384396
18,-6.5,3.5,15,Villain,0.5260874666273594,0.3489536675314108
19,3.6000000000000005,-6.3999999999999995,14,Hero,0.561222320156438,0.639296721134867
20,-5.699999999999999,4.300000000000001,7,Villain,0.709281284894262,0.5045246056147984
21,3.3,-6.7,17,Hero,0.5562666074975449,0.29747619348413806
22,3.7,-6.3,13,Hero,0.5448779113805637,0.7008228175915204
23,3.0999999999999996,-6.9,19,Hero,0.3981028081555116,0.4890947624256736
24,-6.5,3.5,15,Villain,0.5343721171220144,0.4517558818062147
25,4.2,-5.8,8,Hero,0.46312326937913895,0.7126281228847802
26,2.9,-7.1,21,Hero,0.4294008585580048,0.5667921600508548
27,3.8000000000000007,-6.199999999999999,12,Hero,0.6540999040007591,0.6681444682180882
28,3.7,-6.3,13,Hero,0.5799655828338403,0.45087581471754956
29,4.6000000000000005,-5.3999999999999995,4,Hero,0.4704274423420429,0.6890564505010843
30,3.6000000000000005,-6.3999999999999995,14,Hero,0.48248353813375744,0.447472272174699
31,3.6000000000000005,-6.3999999999999995,14,Hero,0.5496664047241211,0.9382641017436981
32,4.2,-5.8,8,Hero,0.5188520289957523,0.7840437516570091
33,4.4,-5.6,6,Hero,0.5173859496911367,0.8618086278438568
34,4.6000000000000005,-5.3999999999999995,4,Hero,0.49900271743535995,0.6763539556413889
35,3.8000000000000007,-6.199999999999999,12,Hero,0.49605434698363143,0.659815328506132
36,2.2999999999999994,-7.700000000000001,27,Hero,0.5680869098890711,0.9165855869650841
37,2.2999999999999994,-7.700000000000001,27,Hero,0.47983973583689443,0.8514093061288198
38,4.5,-5.5,5,Hero,0.5338473379611969,0.636860953271389
39,2.4999999999999996,-7.5,25,Hero,0.4172364092618227,0.4511846995353699
40,4.2,-5.8,8,Hero,0.664929810911417,0.501206710934639
41,3.7,-6.3,13,Hero,0.5230121910572052,0.8314542589852443
42,4.800000000000001,-5.199999999999999,2,Hero,0.5093275457620621,0.16331364959478378
43,4.1000000000000005,-5.8999999999999995,9,Hero,0.47853176792462665,0.4292626678943634
44,3.3,-6.7,17,Hero,0.4332508679260226,0.3243878718246432
45,2.2999999999999994,-7.700000000000001,27,Hero,0.5177490573238444,0.7723874904698244
46,4.5,-5.5,5,Hero,0.6011412024497986,0.3241969168186188
47,2.4999999999999996,-7.5,25,Hero,0.5261047899723053,0.6680998462438583
48,4.0,-6.0,10,Hero,0.49203489124774935,0.7064650490880012
49,2.099999999999999,-7.9,29,Hero,0.5092606554771292,0.6343398694077442
50,4.0,-6.0,10,Hero,0.6268594965338707,0.33796076886355875
51,4.1000000000000005,-5.8999999999999995,9,Hero,0.5010955532391866,0.32704855501651764
52,3.9000000000000004,-6.1,11,Hero,0.5270871384577318,0.3902480012991212
53,3.4000000000000004,-6.6,16,Hero,0.5115017611533403,0.5502041757572442
54,3.7,-6.3,13,Hero,0.5350492780025189,0.41743742044155413
55,2.3999999999999995,-7.6000000000000005,26,Hero,0.48217260321745503,0.4838791240293246
56,3.8000000000000007,-6.199999999999999,12,Hero,0.5313758590879539,0.4958135522902012
57,3.8000000000000007,-6.199999999999999,12,Hero,0.5259277895092964,0.4114328051606814
58,4.0,-6.0,10,Hero,0.6092630058526993,0.3982217937707901
59,3.8000000000000007,-6.199999999999999,12,Hero,0.4811055436730385,0.46484110597521067
60,4.2,-5.8,8,Hero,0.6002109292894602,0.35966647742316127
61,4.1000000000000005,-5.8999999999999995,9,Hero,0.5199084315035079,0.4751586417357127
62,3.4000000000000004,-6.6,16,Hero,0.4889342375099659,0.39763786597177386
63,4.0,-6.0,10,Hero,0.6338832318782807,0.5041531600058079
64,3.0,-7.0,20,Hero,0.4736856042407453,0.45941424202173947
65,3.9000000000000004,-6.1,11,Hero,0.47541196407242253,0.42225364629517903
66,4.2,-5.8,8,Hero,0.5585104264318943,0.4735158793628216
67,3.8000000000000007,-6.199999999999999,12,Hero,0.58472258100907,0.3628984596580267
68,4.4,-5.6,6,Hero,0.5089754015207291,0.45383915801843006
69,4.0,-6.0,10,Hero,0.5894133925437928,0.4393094450235367
70,2.4999999999999996,-7.5,25,Hero,0.44961137425154446,0.5826781204342842
71,3.3,-6.7,17,Hero,0.4585764812415137,0.6096841149470386
72,3.9000000000000004,-6.1,11,Hero,0.6468929153951731,0.5427440012043173
73,3.9000000000000004,-6.1,11,Hero,0.5034794455224817,0.4130721552805467
74,4.300000000000001,-5.699999999999999,7,Hero,0.6504304323877607,0.4449209507022585
75,4.1000000000000005,-5.8999999999999995,9,Hero,0.5312135418256124,0.3686158210039139
76,2.6999999999999997,-7.300000000000001,23,Hero,0.585410953529746,0.5546446513870488
77,4.1000000000000005,-5.8999999999999995,9,Hero,0.8172903772857454,0.5119593391815821
78,3.6000000000000005,-6.3999999999999995,14,Hero,0.6700864136219025,0.7297479818974223
