episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,3.6000000000000005,-6.3999999999999995,14,Hero,0.3855502951358046,0.2929025925695896
2,1.9999999999999991,-8.0,30,Hero,0.39619130541880926,0.3213457042972247
3,4.5,-5.5,5,Hero,0.46212626397609713,0.2960978955030441
4,3.8000000000000007,-6.199999999999999,12,Hero,0.48138653486967087,0.37100452308853465
5,3.0,-7.0,20,Hero,0.6356346074491739,0.4543747341260314
6,3.2,-6.8,18,Hero,0.5266698482963774,0.3838716141051716
7,4.6000000000000005,-5.3999999999999995,4,Hero,0.6316377259790897,0.8133125156164169
8,4.1000000000000005,-5.8999999999999995,9,Hero,0.572683980067571,0.6179238290836414
9,2.9,-7.1,21,Hero,0.6185677065735772,0.6436205605665842
10,2.5999999999999996,-7.4,24,Hero,0.5766188047515849,0.5009072666677336
11,-5.199999999999999,4.800000000000001,2,Villain,0.7232183218002319,0.39464469254016876
12,4.0,-6.0,10,Hero,0.6995261371135711,0.4816455001011491
13,3.5,-6.5,15,Hero,0.49864580631256106,0.42792126958568893
14,4.7,-5.3,3,Hero,0.4086516300837199,0.4406413634618123
15,3.5,-6.5,15,Hero,0.5287044823169709,0.4791462702055772
16,4.0,-6.0,10,Hero,0.5280186742544174,0.46219798624515535
17,3.4000000000000004,-6.6,16,Hero,0.5570467580109835,0.4461555206216872
18,4.6000000000000005,-5.3999999999999995,4,Hero,0.5086240544915199,0.5379939628764987
19,4.300000000000001,-5.699999999999999,7,Hero,0.6460679812090737,0.9106233971459525
20,3.6000000000000005,-6.3999999999999995,14,Hero,0.5335496429886136,0.8392183482646942
21,3.0999999999999996,-6.9,19,Hero,0.45451967320159864,0.4099523205506174
22,3.3,-6.7,17,Hero,0.49354206332389045,0.4268634626094033
23,4.300000000000001,-5.699999999999999,7,Hero,0.4392029891522335,0.869828496660505
24,4.300000000000001,-5.699999999999999,7,Hero,0.5935549310275486,0.4703995691878455
25,3.6000000000000005,-6.3999999999999995,14,Hero,0.5111159767423358,0.6801407194164183
26,4.6000000000000005,-5.3999999999999995,4,Hero,0.5171554237604141,0.8862725049257278
27,3.8000000000000007,-6.199999999999999,12,Hero,0.5287687455614408,0.828897966692845
28,3.5,-6.5,15,Hero,0.5529897977908452,0.5979922612508138
29,4.0,-6.0,10,Hero,0.520871052145958,0.6162486165761948
30,4.0,-6.0,10,Hero,0.4769621819257736,0.7454206943511963
31,4.6000000000000005,-5.3999999999999995,4,Hero,0.6600988395512104,0.7807050198316574
32,4.1000000000000005,-5.8999999999999995,9,Hero,0.78433448738522,0.5247021251254611
33,3.7,-6.3,13,Hero,0.5742620301361268,0.8184625747112128
34,3.0999999999999996,-6.9,19,Hero,0.5055525052410207,0.5285774257622267
35,2.9,-7.1,21,Hero,0.5362286794753301,0.7821429190891129
36,3.9000000000000004,-6.1,11,Hero,0.7361607578667727,0.47852277146144345
37,-5.199999999999999,4.800000000000001,2,Villain,0.31757843866944313,0.3965024799108505
38,3.7,-6.3,13,Hero,0.6769333527638361,0.876232467018641
39,2.1999999999999993,-7.800000000000001,28,Hero,0.558847647692476,0.6388367931691131
40,4.6000000000000005,-5.3999999999999995,4,Hero,0.5174473598599434,0.9366704225540161
41,3.9000000000000004,-6.1,11,Hero,0.5423478971828114,0.6076442788947712
42,3.4000000000000004,-6.6,16,Hero,0.6017203275114298,0.7342709563672543
43,3.5,-6.5,15,Hero,0.4868238310019175,0.8193095842997233
44,4.9,-5.1,1,Hero,0.2992407977581024,0.9119061231613159
45,4.5,-5.5,5,Hero,0.44419524669647215,0.8871949076652527
46,3.5,-6.5,15,Hero,0.5462518155574798,0.6219591557979584
47,4.5,-5.5,5,Hero,0.5831967711448669,0.5078994035720825
48,4.4,-5.6,6,Hero,0.7293844868739446,0.8702004353205363
49,3.3,-6.7,17,Hero,0.5264178619665258,0.5792462527751923
50,3.0999999999999996,-6.9,19,Hero,0.5167913970194364,0.5316224992275238
51,4.9,-5.1,1,Hero,0.6367260217666626,0.702308177947998
52,3.8000000000000007,-6.199999999999999,12,Hero,0.4647133770243575,0.5855235680937767
53,2.1999999999999993,-7.800000000000001,28,Hero,0.5052474061293262,0.5018394031295819
54,-5.3,4.7,3,Villain,0.9730266332626343,0.9780360658963522
