episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-5.3999999999999995,4.6000000000000005,4,Villain,0.3226255960762501,0.6021454930305481
2,-4.999999999999998,-4.999999999999998,50,None,0.6518944306671619,0.5994760048110038
3,-4.999999999999998,-4.999999999999998,50,None,0.5762687899917364,0.869943359233439
4,-5.199999999999999,4.800000000000001,2,Villain,0.4449145458638668,0.9382214844226837
5,-5.8999999999999995,4.1000000000000005,9,Villain,0.2851431427730454,0.3734838854935434
6,-4.999999999999998,-4.999999999999998,50,None,0.7818788546696305,0.7183551054820418
7,-4.999999999999998,-4.999999999999998,50,None,0.9374957132339478,0.77855677947402
8,-4.999999999999998,-4.999999999999998,50,None,0.6134779705107212,0.8289514967054129
9,-4.999999999999998,-4.999999999999998,50,None,0.856089923903346,0.6585059867799282
10,-5.1,4.9,1,Villain,0.6565226316452026,0.9331498146057129
11,4.4,-5.6,6,Hero,0.8847627143065134,0.567785382270813
12,-4.999999999999998,-4.999999999999998,50,None,0.8340154742449521,0.526722748875618
13,-4.999999999999998,-4.999999999999998,50,None,0.8847484420984983,0.5721936383098364
14,-4.999999999999998,-4.999999999999998,50,None,0.9762743377685547,0.4294822123646736
15,-4.999999999999998,-4.999999999999998,50,None,0.9438662137091159,0.43323617935180664
16,-4.999999999999998,-4.999999999999998,50,None,0.9640062010288238,0.39353635907173157
17,-4.999999999999998,-4.999999999999998,50,None,0.8664487045072019,0.7527200149744749
18,-4.999999999999998,-4.999999999999998,50,None,0.8948212334886193,0.7988074344024062
19,-4.999999999999998,-4.999999999999998,50,None,0.6510126768797636,0.9532246921956539
20,-4.999999999999998,-4.999999999999998,50,None,0.8467395451664924,0.7495097213238477
21,-4.999999999999998,-4.999999999999998,50,None,0.576838409435004,0.9505349079705775
22,-4.999999999999998,-4.999999999999998,50,None,0.8733977027237415,0.805036581158638
23,-4.999999999999998,-4.999999999999998,50,None,0.6597853821516036,0.9602675367239862
24,4.1000000000000005,-5.8999999999999995,9,Hero,0.98163902759552,0.5300231294499503
25,-4.999999999999998,-4.999999999999998,50,None,0.9629353660345078,0.6800189811736346
