episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-4.999999999999998,-4.999999999999998,50,None,0.7982413349486888,0.4678000195324421
2,2.3999999999999995,-7.6000000000000005,26,Hero,0.5230014491826296,0.3360659725104387
3,1.7763568394002505e-15,-9.999999999999998,50,Hero,0.6942254398018122,0.416171277910471
4,4.800000000000001,-5.199999999999999,2,Hero,0.6974190771579742,0.23793431371450424
5,4.9,-5.1,1,Hero,0.8858761191368103,0.7470105886459351
6,-4.999999999999998,-4.999999999999998,50,None,0.9349469727277756,0.5550738277286291
7,-4.999999999999998,-4.999999999999998,50,None,0.8595154647342861,0.4093613820523024
8,-5.5,4.5,5,Villain,0.9714022755622864,0.49394254088401796
9,-4.999999999999998,-4.999999999999998,50,None,0.8669999966304749,0.39356775406748057
10,-4.999999999999998,-4.999999999999998,50,None,0.8938425686210394,0.46850291281938555
11,4.7,-5.3,3,Hero,0.9773747324943542,0.8954573671023051
12,-4.999999999999998,-4.999999999999998,50,None,0.9622204554080963,0.6594572245143354
13,-6.3,3.7,13,Villain,0.870288815922462,0.5077715869992971
14,3.0999999999999996,-6.9,19,Hero,0.5499665313645413,0.7868954604001421
15,-9.5,0.5,45,Villain,0.766428130151083,0.6214114233851433
16,-4.999999999999998,-4.999999999999998,50,None,0.6806659454107284,0.7555731916427613
17,-4.999999999999998,-4.999999999999998,50,None,0.9399210554361344,0.9133101382851601
18,4.4,-5.6,6,Hero,0.941437820593516,0.9349674979845682
19,1.5999999999999988,-8.400000000000002,34,Hero,0.9037741327740472,0.9393131463952801
20,-4.999999999999998,-4.999999999999998,50,None,0.9832212936878204,0.9750955700874329
21,-4.999999999999998,-4.999999999999998,50,None,0.9102092623990029,0.8990039891377092
22,-5.8999999999999995,4.1000000000000005,9,Villain,0.7250529680815008,0.7634088169369433
23,4.9,-5.1,1,Hero,0.9923903346061707,0.9690829515457153
24,-4.999999999999998,-4.999999999999998,50,None,0.9948376333713531,0.9874102866649628
25,4.1000000000000005,-5.8999999999999995,9,Hero,0.9082403977711996,0.9517343905236986
26,-4.999999999999998,-4.999999999999998,50,None,0.9454650192521512,0.8581875047460198
27,-9.200000000000001,0.7999999999999989,42,Villain,0.9026473780118284,0.760903836649266
28,-4.999999999999998,-4.999999999999998,50,None,0.9782860041118693,0.9438770120218396
29,-6.199999999999999,3.8000000000000007,12,Villain,0.9972300430138906,0.8719592917089661
30,-6.6,3.4000000000000004,16,Villain,0.993960652500391,0.6086455676704645
31,-6.8,3.2,18,Villain,0.9975040290090773,0.629851448453135
32,-6.3,3.7,13,Villain,0.8380205447857196,0.5968833565711975
33,-4.999999999999998,-4.999999999999998,50,None,0.9907700610160828,0.7207613107562065
34,-6.1,3.9000000000000004,11,Villain,0.9919505227695812,0.6305905011567202
