episode,hero_reward,villain_reward,steps,winner,hero_avg_prob,villain_avg_prob
1,-5.1899999999999995,4.8100000000000005,19,Villain,0.36195516311808634,0.37264305823727656
2,-0.5000000000000002,-0.5000000000000002,50,None,0.5159798935055733,0.2793460930883884
3,-5.13,4.87,13,Villain,0.3561890171124385,0.3467442834606537
4,4.69,-5.31,31,Hero,0.3458357765789955,0.4447506130222351
5,-5.18,4.82,18,Villain,0.5013538847366968,0.40494470794995624
6,-0.5000000000000002,-0.5000000000000002,50,None,0.510806482322514,0.36649027161300185
7,4.63,-5.37,37,Hero,0.3544442500617053,0.3867703623868324
8,-0.5000000000000002,-0.5000000000000002,50,None,0.39294331669807436,0.3421076200157404
9,4.98,-5.02,2,Hero,0.407317116856575,0.22150501981377602
10,4.88,-5.12,12,Hero,0.35566671937704086,0.2989072147756815
11,-0.5000000000000002,-0.5000000000000002,50,None,0.4700390560925007,0.458456456810236
12,4.51,-5.49,49,Hero,0.38937122931665913,0.40870859448284824
13,-0.5000000000000002,-0.5000000000000002,50,None,0.3334645065665245,0.5533175948262214
14,4.66,-5.34,34,Hero,0.43394824621431966,0.42120643179206285
15,-0.5000000000000002,-0.5000000000000002,50,None,0.40520510405302046,0.601835570782423
16,4.75,-5.25,25,Hero,0.44177254736423494,0.5301831811666489
17,4.9,-5.1,10,Hero,0.5623818196356296,0.6860752761363983
18,4.72,-5.28,28,Hero,0.40899749792047907,0.45586540337119785
19,4.63,-5.37,37,Hero,0.33216418486994664,0.41932741643206495
20,4.7,-5.3,30,Hero,0.6793765908728043,0.41744163185358046
21,-0.5000000000000002,-0.5000000000000002,50,None,0.6208981551229954,0.42972272923216226
22,-5.04,4.96,4,Villain,0.5664338245987892,0.32413350045681
23,-5.02,4.98,2,Villain,0.7698666155338287,0.5245468616485596
24,-0.5000000000000002,-0.5000000000000002,50,None,0.3214720747992396,0.5442609621584416
25,-0.5000000000000002,-0.5000000000000002,50,None,0.32177515137940643,0.6637502144277095
26,-0.5000000000000002,-0.5000000000000002,50,None,0.3875111731886864,0.5911972247064113
27,-0.5000000000000002,-0.5000000000000002,50,None,0.3601496212929487,0.6747372416034341
28,-0.5000000000000002,-0.5000000000000002,50,None,0.38788298442959784,0.7152618979662657
29,-0.5000000000000002,-0.5000000000000002,50,None,0.32931474439799785,0.7051543167233467
30,-0.5000000000000002,-0.5000000000000002,50,None,0.4677521829120815,0.8226438985485583
31,-0.5000000000000002,-0.5000000000000002,50,None,0.4737772516906261,0.8336297120247036
32,-0.5000000000000002,-0.5000000000000002,50,None,0.4595294374227524,0.7958232881873846
33,-0.5000000000000002,-0.5000000000000002,50,None,0.43660399317741394,0.8377912563085556
34,-0.5000000000000002,-0.5000000000000002,50,None,0.3988245040178299,0.828323021531105
35,-0.5000000000000002,-0.5000000000000002,50,None,0.39434728272259234,0.7200988771766424
36,-0.5000000000000002,-0.5000000000000002,50,None,0.42216639762744307,0.7682816663384437
37,-0.5000000000000002,-0.5000000000000002,50,None,0.4814805620163679,0.8600554859265686
